"Case.Study.ID","weight","DEM","AvgTemp","AvgMonthlyPrec","ET","HANPP_Total","HANPP_LC","HANPP_NPP","Livestock","PA","Pop_dense","Pop_delta","GDP","HDI","Market_access","Market_density","Market_influence","Malnutrition","hf_score","hf_rank","pf_score","Mammals","HANPP_forest","HANPP_forest_harvest","HANPP_forest_new","HANPP_pasture","HANPP_pasture_harvest","HANPP_cropland","HANPP_cropland_harvest","tropical.broadleaf.evergreen","temperate.broadleaf.evergreen","broadleaf.deciduous","needleleaf.evergreen","needleleaf.deciduous","C3.grass","C3.crop","C3.pasture","C4.grass","C4.crop","C4.pasture","evergreen.shrubs","deciduous.shrubs","urban","lake","bare.soil","Fire_development_stage"
"100a",0.335668044158335,65,26.12249947,239,1364.5,0.124576087,0.054590702,984.8208012,498.7006707,0,0.278331876,0.016620576,12877.99414,0.544334471,0,0,1.090000033,77,7.012727273,76.63636364,7.511818182,177,0.078678021,0.079568595,0.06988325,0.109824929,0.058852388,0.095785002,0.022122644,0.036151774,0.621875584,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.183378175,0.000153914,1e-06,0.05286533,1e-06,0,0.074795745,0.030771501,"FALSE"
"102a",0.383032246708284,972,23.1902504,262,2070,0.118796794,0.089248048,675.9530112,267.7789638,0,59.20997238,7.469921112,2318.339355,0.398000002,0.010542,15703.6308,15.40608002,321.75,6.95,82,6.69,130,0.02121198,0.019265445,0.015622716,0.04192319,0.007741987,0.52233665,0.249483074,1e-06,0.404353052,1e-06,1e-06,1e-06,1e-06,1.75e-05,2.75e-06,1e-06,0.141981065,0.399971157,1e-06,1e-06,0,0,0.053666487,"TRUE"
"103a",1.5411415102851,76,25.33724976,264,1984,0.348176191,0.142030778,911.887938,1506.566066,0,142.0145264,8.666717529,3178.777344,0.625999987,0.105988572,209917.3712,510.1790423,330,6.17,118,5.77,50,0.125986055,0.216812149,0.127361953,0.085295475,0.018928597,0.320582616,0.141249119,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103b",1.5411415102851,91,25.75875092,88,1918.25,0.562624521,0.320533261,925.1415737,1070.834796,0,76.60005569,5.375593185,3178.777344,0.625999987,0.206531216,499843.9242,999.5371242,330,6.17,118,5.77,54.5,0.127923406,0.216812149,0.143033147,0.110311541,0.01914062,0.317599298,0.139445908,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103c",1.5411415102851,188,25.12800026,164,1955.25,0.645154171,0.379489347,1011.762034,1152.204845,0,288.9576569,16.13469696,3178.777344,0.625999987,0.259427355,948666.8373,1259.203115,330,6.17,118,5.77,55.25,0.212910086,0.216812149,0.206574783,0.16497372,0.036030389,0.633957954,0.286532619,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103d",1.5411415102851,59.5,25.70249939,121,1910.333333,0.562624521,0.320533261,925.1415737,1070.834796,0,102.6927333,5.136148453,3014.122437,0.625999987,0.206531216,499843.9242,999.5371242,330,6.17,118,5.77,51.33333333,0.127923406,0.216812149,0.179350838,0.110311541,0.01914062,0.317599298,0.139445908,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103e",1.5411415102851,65.5,26.11600018,79,1876,0.52284652,0.285489262,1033.385022,712.4160703,0,370.8656349,23.49713516,2930.321594,0.625999987,0.382418019,2231752.852,1867.010412,330,6.17,118,5.77,52.5,0.165646943,0.216812149,0.183458507,0.129150532,0.025173544,0.573488189,0.242132492,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"104a",0.3,549.5,24.26087475,21.5,1639.090909,0.025739678,0.014464216,997.7360768,19.89919565,0.5,3.470480538,0.346548089,943.0637207,0.319999993,0,0,0.063211994,279.875,5.324545455,144.9090909,5.277272727,102.6681526,0.015067851,0.007502681,0.031775687,0.032238429,0.007987405,0.52841915,0.030566543,0.042287715,0.615654856,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.214942209,0.070347978,0.01105566,1e-06,1e-06,0,0.023466298,0.022237303,"FALSE"
"104b",0.3,549.5,24.26087475,21.5,1639.090909,0.025739678,0.014464216,997.7360768,19.89919565,0.5,3.470480538,0.346548089,943.0637207,0.319999993,0,0,0.063211994,279.875,5.324545455,144.9090909,5.277272727,102.6681526,0.015067851,0.007502681,0.031775687,0.032238429,0.007987405,0.52841915,0.030566543,0.042287715,0.615654856,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.214942209,0.070347978,0.01105566,1e-06,1e-06,0,0.023466298,0.022237303,"FALSE"
"104c",0.3,549.5,24.26087475,21.5,1639.090909,0.025739678,0.014464216,997.7360768,19.89919565,0.5,3.817028627,0.381165044,943.0637207,0.319999993,0,0,0.063211994,279.875,5.324545455,144.9090909,5.277272727,102.6681526,0.014629167,0.006337148,0.031775687,0.034552717,0.007551134,0.573922804,0.033947845,0.042287715,0.615654856,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.214942209,0.070347978,0.01105566,1e-06,1e-06,0,0.023466298,0.022237303,"FALSE"
